node_id,label,name,attrs,record_ids
CVE:CVE-2026-82078,Vulnerability,CVE-2026-82078,"{""cve_id"": ""CVE-2026-82078"", ""year"": 2026, ""cve_name"": ""PaperCut NG/MF Unsafe Reflection Vulnerability"", ""impacts"": [""Remote Code Execution"", ""Unauthorized Access""], ""attack_position"": [], ""end_of_life"": false, ""mentioned_only"": false}",1 2
VULNERABILITYCLASS:unsafe reflection,VulnerabilityClass,Unsafe Reflection,"{""cwe_id"": ""CWE-470""}",1
VENDOR:papercut,Vendor,PaperCut,{},1 2
PRODUCT:ng/mf,Product,NG/MF,{},1 2
CVE:CVE-2026-81578,Vulnerability,CVE-2026-81578,"{""cve_id"": ""CVE-2026-81578"", ""year"": 2026, ""cve_name"": ""PaperCut NG/MF Missing Authentication for Critical Function Vulnerability"", ""impacts"": [""Unauthorized Access""], ""attack_position"": [""remote"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",1 2
VULNERABILITYCLASS:missing authentication for critical function,VulnerabilityClass,Missing Authentication For Critical Function,"{""cwe_id"": ""CWE-306""}",2 16 47 65 69
CVE:CVE-2023-49105,Vulnerability,CVE-2023-49105,"{""cve_id"": ""CVE-2023-49105"", ""year"": 2023, ""cve_name"": ""ownCloud Improper Authentication Vulnerability"", ""impacts"": [""Arbitrary File Manipulation"", ""Authentication Bypass""], ""attack_position"": [""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",3
VULNERABILITYCLASS:improper authentication,VulnerabilityClass,Improper Authentication,"{""cwe_id"": ""CWE-287""}",3 21 35
VENDOR:owncloud,Vendor,ownCloud,{},3
PRODUCT:owncloud,Product,ownCloud,{},3
CVE:CVE-2026-53362,Vulnerability,CVE-2026-53362,"{""cve_id"": ""CVE-2026-53362"", ""year"": 2026, ""cve_name"": ""Linux Kernel Unspecified Vulnerability"", ""impacts"": [""Privilege Escalation""], ""attack_position"": [""network""], ""end_of_life"": false, ""mentioned_only"": false}",4
VULNERABILITYCLASS:unspecified,VulnerabilityClass,Unspecified,{},4
VENDOR:linux,Vendor,Linux,{},4 9
PRODUCT:kernel,Product,Kernel,{},4 9
CVE:CVE-2026-66384,Vulnerability,CVE-2026-66384,"{""cve_id"": ""CVE-2026-66384"", ""year"": 2026, ""cve_name"": ""JFrog Artifactory Improper Limitation of a Pathname to a Restricted Directory Vulnerability"", ""impacts"": [""Arbitrary File Manipulation""], ""attack_position"": [""authenticated""], ""end_of_life"": false, ""mentioned_only"": false}",5
VULNERABILITYCLASS:improper limitation of a pathname to a restricted directory,VulnerabilityClass,Improper Limitation Of A Pathname To A Restricted Directory,"{""cwe_id"": ""CWE-22""}",5
VENDOR:jfrog,Vendor,JFrog,{},5
PRODUCT:artifactory,Product,Artifactory,{},5
CVE:CVE-2021-23758,Vulnerability,CVE-2021-23758,"{""cve_id"": ""CVE-2021-23758"", ""year"": 2021, ""cve_name"": ""Ajax.NET Professional Deserialization of Untrusted Data Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""remote""], ""end_of_life"": true, ""mentioned_only"": false}",6
VULNERABILITYCLASS:deserialization of untrusted data,VulnerabilityClass,Deserialization Of Untrusted Data,"{""cwe_id"": ""CWE-502""}",6 27 36 41 57
VENDOR:ajax.net professional,Vendor,Ajax.NET Professional,{},6
PRODUCT:ajax.net professional,Product,Ajax.NET Professional,{},6
CVE:CVE-2015-3246,Vulnerability,CVE-2015-3246,"{""cve_id"": ""CVE-2015-3246"", ""year"": 2015, ""cve_name"": ""Red Hat Libuser Race Condition Vulnerability"", ""impacts"": [""Arbitrary File Manipulation"", ""Denial of Service"", ""Privilege Escalation""], ""attack_position"": [""authenticated"", ""local""], ""end_of_life"": false, ""mentioned_only"": false}",7
VULNERABILITYCLASS:race condition,VulnerabilityClass,Race Condition,"{""cwe_id"": ""CWE-362""}",7
VENDOR:red hat,Vendor,Red Hat,{},7 8
PRODUCT:libuser,Product,Libuser,{},7
CVE:CVE-2015-5287,Vulnerability,CVE-2015-5287,"{""cve_id"": ""CVE-2015-5287"", ""year"": 2015, ""cve_name"": ""Red Hat Automatic Bug Reporting Tool Privilege Escalation Vulnerability"", ""impacts"": [""Privilege Escalation""], ""attack_position"": [""authenticated"", ""local""], ""end_of_life"": true, ""mentioned_only"": false}",8
VULNERABILITYCLASS:privilege escalation,VulnerabilityClass,Privilege Escalation,"{""cwe_id"": ""CWE-269""}",8
PRODUCT:automatic bug reporting tool,Product,Automatic Bug Reporting Tool,{},8
CVE:CVE-2022-0995,Vulnerability,CVE-2022-0995,"{""cve_id"": ""CVE-2022-0995"", ""year"": 2022, ""cve_name"": ""Linux Kernel Out-of-Bounds Write Vulnerability"", ""impacts"": [""Denial of Service"", ""Privilege Escalation""], ""attack_position"": [""local""], ""end_of_life"": false, ""mentioned_only"": false}",9
VULNERABILITYCLASS:out-of-bounds memory write,VulnerabilityClass,Out-Of-Bounds Memory Write,"{""cwe_id"": ""CWE-787""}",9
CVE:CVE-2026-8452,Vulnerability,CVE-2026-8452,"{""cve_id"": ""CVE-2026-8452"", ""year"": 2026, ""cve_name"": ""Citrix NetScaler ADC and NetScaler Gateway Improper Restriction of Operations within the Bounds of a Memory Buffer Vulnerability"", ""impacts"": [""Denial of Service""], ""attack_position"": [], ""end_of_life"": false, ""mentioned_only"": false}",10
VULNERABILITYCLASS:improper restriction of operations within the bounds of a memory buffer,VulnerabilityClass,Improper Restriction Of Operations Within The Bounds Of A Memory Buffer,"{""cwe_id"": ""CWE-119""}",10
VENDOR:citrix,Vendor,Citrix,{},10
PRODUCT:netscaler adc and netscaler gateway,Product,NetScaler ADC and NetScaler Gateway,{},10
CVE:CVE-2019-1068,Vulnerability,CVE-2019-1068,"{""cve_id"": ""CVE-2019-1068"", ""year"": 2019, ""cve_name"": ""Microsoft SQL Server Remote Code Execution Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""remote""], ""end_of_life"": false, ""mentioned_only"": false}",11
VULNERABILITYCLASS:remote code execution,VulnerabilityClass,Remote Code Execution,{},11
VENDOR:microsoft,Vendor,Microsoft,{},11 18 20 24 36 41 46 47 57
PRODUCT:sql server,Product,SQL Server,{},11
CVE:CVE-2026-60004,Vulnerability,CVE-2026-60004,"{""cve_id"": ""CVE-2026-60004"", ""year"": 2026, ""cve_name"": ""Gitea Code Injection Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""authenticated""], ""end_of_life"": false, ""mentioned_only"": false}",12
VULNERABILITYCLASS:code injection,VulnerabilityClass,Code Injection,"{""cwe_id"": ""CWE-94""}",12 15 22 30 49 61
VENDOR:gitea,Vendor,Gitea,{},12
PRODUCT:gitea,Product,Gitea,{},12
CVE:CVE-2026-21962,Vulnerability,CVE-2026-21962,"{""cve_id"": ""CVE-2026-21962"", ""year"": 2026, ""cve_name"": ""Oracle HTTP Server and Oracle Weblogic Server Proxy Plug-in Improper Access Control Vulnerability"", ""impacts"": [""Unauthorized Access""], ""attack_position"": [], ""end_of_life"": false, ""mentioned_only"": false}",13
VULNERABILITYCLASS:improper access control,VulnerabilityClass,Improper Access Control,"{""cwe_id"": ""CWE-284""}",13 55 64 66
VENDOR:oracle,Vendor,Oracle,{},13 44 69
PRODUCT:http server and oracle weblogic server proxy plug-in,Product,HTTP Server and Oracle Weblogic Server Proxy Plug-in,{},13
CVE:CVE-2026-73570,Vulnerability,CVE-2026-73570,"{""cve_id"": ""CVE-2026-73570"", ""year"": 2026, ""cve_name"": ""Zimbra Collaboration Suite (ZCS) OS Command Injection Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",14
VULNERABILITYCLASS:os command injection,VulnerabilityClass,OS Command Injection,"{""cwe_id"": ""CWE-78""}",14 34 42 43 70
VENDOR:synacor,Vendor,Synacor,{},14
PRODUCT:zimbra collaboration suite (zcs),Product,Zimbra Collaboration Suite (ZCS),{},14
CVE:CVE-2026-72530,Vulnerability,CVE-2026-72530,"{""cve_id"": ""CVE-2026-72530"", ""year"": 2026, ""cve_name"": ""TrueConf Server Code Injection Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""network"", ""remote"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",15
VENDOR:trueconf,Vendor,TrueConf,{},15 16
PRODUCT:server,Product,Server,{},15 16
CVE:CVE-2026-72529,Vulnerability,CVE-2026-72529,"{""cve_id"": ""CVE-2026-72529"", ""year"": 2026, ""cve_name"": ""TrueConf Server Missing Authentication for Critical Function Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""network"", ""remote"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",16
CVE:CVE-2026-64849,Vulnerability,CVE-2026-64849,"{""cve_id"": ""CVE-2026-64849"", ""year"": 2026, ""cve_name"": ""MLflow Server-Side Request Forgery Vulnerability"", ""impacts"": [""Information Disclosure"", ""Server-Side Request Forgery""], ""attack_position"": [], ""end_of_life"": false, ""mentioned_only"": false}",17
VULNERABILITYCLASS:server-side request forgery,VulnerabilityClass,Server-Side Request Forgery,"{""cwe_id"": ""CWE-918""}",17 48
VENDOR:mlflow,Vendor,MLflow,{},17
PRODUCT:mlflow,Product,MLflow,{},17
CVE:CVE-2026-33824,Vulnerability,CVE-2026-33824,"{""cve_id"": ""CVE-2026-33824"", ""year"": 2026, ""cve_name"": ""Microsoft Internet Key Exchange (IKE) Service Extensions Double Free Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""remote""], ""end_of_life"": false, ""mentioned_only"": false}",18
VULNERABILITYCLASS:double free,VulnerabilityClass,Double Free,"{""cwe_id"": ""CWE-415""}",18
PRODUCT:internet key exchange (ike) service extensions,Product,Internet Key Exchange (IKE) Service Extensions,{},18
CVE:CVE-2026-59310,Vulnerability,CVE-2026-59310,"{""cve_id"": ""CVE-2026-59310"", ""year"": 2026, ""cve_name"": ""Broadcom VMware vCenter Path Traversal Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""network""], ""end_of_life"": false, ""mentioned_only"": false}",19
VULNERABILITYCLASS:path traversal,VulnerabilityClass,Path Traversal,"{""cwe_id"": ""CWE-22""}",19 56 63
VENDOR:broadcom,Vendor,Broadcom,{},19
PRODUCT:vmware vcenter,Product,VMware vCenter,{},19
CVE:CVE-2026-55040,Vulnerability,CVE-2026-55040,"{""cve_id"": ""CVE-2026-55040"", ""year"": 2026, ""cve_name"": ""Microsoft SharePoint Weak Authentication Vulnerability"", ""impacts"": [""Authentication Bypass""], ""attack_position"": [""network"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",20
VULNERABILITYCLASS:weak authentication,VulnerabilityClass,Weak Authentication,"{""cwe_id"": ""CWE-1390""}",20
PRODUCT:sharepoint,Product,SharePoint,{},20 36 41
CVE:CVE-2026-65400,Vulnerability,CVE-2026-65400,"{""cve_id"": ""CVE-2026-65400"", ""year"": 2026, ""cve_name"": ""Apple macOS Improper Authentication Vulnerability"", ""impacts"": [""Authentication Bypass""], ""attack_position"": [""network"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",21
VENDOR:apple,Vendor,Apple,{},21
PRODUCT:macos,Product,macOS,{},21
CVE:CVE-2025-62593,Vulnerability,CVE-2025-62593,"{""cve_id"": ""CVE-2025-62593"", ""year"": 2025, ""cve_name"": ""Ray-Project Ray Code Injection Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""remote""], ""end_of_life"": false, ""mentioned_only"": false}",22
VENDOR:ray-project,Vendor,Ray-Project,{},22
PRODUCT:ray,Product,Ray,{},22
CVE:CVE-2026-20349,Vulnerability,CVE-2026-20349,"{""cve_id"": ""CVE-2026-20349"", ""year"": 2026, ""cve_name"": ""Cisco Secure Firewall Adaptive Security Appliance (ASA) and Secure Firewall Threat Defense (FTD) Heap Inspection Vulnerability"", ""impacts"": [""Denial of Service""], ""attack_position"": [""remote"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",23
VULNERABILITYCLASS:heap inspection,VulnerabilityClass,Heap Inspection,{},23
VENDOR:cisco,Vendor,Cisco,{},23 32 50 60 68
PRODUCT:secure firewall adaptive security appliance (asa) and secure firewall threat defense (ftd),Product,Secure Firewall Adaptive Security Appliance (ASA) and Secure Firewall Threat Defense (FTD),{},23
CVE:CVE-2026-68820,Vulnerability,CVE-2026-68820,"{""cve_id"": ""CVE-2026-68820"", ""year"": 2026, ""cve_name"": ""Microsoft Windows Ancillary Function Driver for WinSock Use-After-Free Vulnerability"", ""impacts"": [""Privilege Escalation""], ""attack_position"": [""authenticated"", ""local""], ""end_of_life"": false, ""mentioned_only"": false}",24
VULNERABILITYCLASS:use-after-free,VulnerabilityClass,Use-After-Free,"{""cwe_id"": ""CWE-416""}",24
PRODUCT:windows ancillary function driver for winsock,Product,Windows Ancillary Function Driver for WinSock,{},24
CVE:CVE-2026-72898,Vulnerability,CVE-2026-72898,"{""cve_id"": ""CVE-2026-72898"", ""year"": 2026, ""cve_name"": ""Metabase SQL Injection Vulnerability"", ""impacts"": [""Information Disclosure"", ""Unauthorized Access""], ""attack_position"": [""remote"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",25
